imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
tt0241683,0.0,,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,286231.0,pt,O Casamento de Louise,"Two women, from opposite worlds, Louise and her maid Luzia, both share a passion for music and finding the perfect man. What can happen during a luncheon where the tastes of both women coincide and clash, while in the presence of two desirable men?",1.737,/1anLEEdkjJ8GzeTVJVxCvt8YadA.jpg,"[{'id': 40994, 'logo_path': '/kyl2LrS9dGnBcJRLx6ST2Qsaxan.png', 'name': 'RioFilme', 'origin_country': 'BR'}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2001-06-08,0.0,80.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Louise's Wedding,0.0,8.0,1.0,
tt0241897,0.0,,,0.0,[],,873290.0,en,Roads and Bridges,A Chinese-American man facing racial prejudice in the American Midwest is placed on a Kansas road-cleaning crew by his parole officer,1.09,,[],[],,0.0,105.0,[],Released,,Roads and Bridges,0.0,0.0,0.0,
tt0242150,0.0,/vYpsJcW9bFSVd9U8ITfIOimWLgr.jpg,,100000.0,"[{'id': 878, 'name': 'Science Fiction'}]",,26446.0,en,Xchange,"In the near future, a company called Xchange owns a mind transference technology that enables instantaneous travel by swapping bodies with someone at the destination. A member of the privileged corporate class (""Corpie"") Xchanging for the first time unwittingly switches bodies with a terrorist. Forced to hide in a limited life span cloned body with just 2 days remaining, he races against time to stop the terrorist and regain his body.",4.031,/awEsQWTKi0yTfzFjrNPH4BDzn7X.jpg,"[{'id': 4516, 'logo_path': None, 'name': 'Coolbrook Media', 'origin_country': ''}, {'id': 4517, 'logo_path': None, 'name': 'Locomotion Films', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2001-01-19,5000000.0,105.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,Out of time.  Out of Bodies.,Xchange,0.0,5.4,54.0,R
tt0242193,0.0,/xCZLpD6sQqu0ZDAcWzzUg3j0jPf.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,9517.0,en,Bully,"A pack of naïve teenagers conspire to murder a mutual friend, whose aggressive demeanor has proved too much.",20.033,/vMJ2WHBbK4Jr3eDuF1e7O6lbC8m.jpg,"[{'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}, {'id': 15231, 'logo_path': '/iFbzMtXFBv2ekA9Ldrw6LqjLrvX.png', 'name': 'Muse Productions', 'origin_country': 'US'}, {'id': 8682, 'logo_path': None, 'name': 'Gravity Entertainment', 'origin_country': ''}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-06-15,480811.0,113.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It's 4 a.m... do you know where your kids are?,Bully,0.0,6.7,427.0,R
tt0242252,0.0,/woxo93Jbp2B5wfd4zfS6B2phJNW.jpg,,30000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",,19076.0,en,The Affair of the Necklace,"In pre-Revolutionary France, a young aristocratic woman left penniless by the political unrest in the country, must avenge her family's fall from grace by scheming to steal a priceless necklace.",21.127,/znhOUWtW8TJ6IHpMMsBT4ENG3ow.jpg,"[{'id': 1088, 'logo_path': '/9WOE5AQUXbOtLU6GTwfjS8OMF0v.png', 'name': 'Alcon Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-11-30,1198113.0,118.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Her birthright was stolen. Her dignity taken. Her rights denied. Deception was the only option.,The Affair of the Necklace,0.0,5.5,78.0,R
tt0242445,0.0,/8T3mgv6ad6MYFRcDHvIsMWM8vuZ.jpg,,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",http://www.exitwounds.net/,10877.0,en,Exit Wounds,"Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops.",25.108,/tGIJhBejmredgUZRNdteZyiahag.jpg,"[{'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 172, 'logo_path': None, 'name': 'NPV Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-03-16,79958599.0,101.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,This Is Gonna Hurt,Exit Wounds,0.0,5.693,428.0,R
tt0242508,0.0,/yap1xGljc2mED8Upk4NYy3f1r7F.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,27451.0,en,Harvard Man,"College has always been a time for experimentation, sexual, cultural and otherwise. ""Harvard Man"" plays out against a background of love, sex, basketball, crime and experimentation. Action and philosophy in young people's quest to discover their true identity.",5.484,/vxZG1UXh8gA3nYmrPNUWCHGGBFn.jpg,"[{'id': 35, 'logo_path': '/wxrHa3nZ1K4zo65p56991INkGo6.png', 'name': 'Lions Gate Films', 'origin_country': 'US'}, {'id': 21097, 'logo_path': None, 'name': 'Worldwide Media', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-08-01,0.0,99.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Passion, Seduction, Deception.",Harvard Man,0.0,4.6,39.0,R
tt0242527,0.0,/o3PJPcTY40mUkj96P6wwhTIN9Rf.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,467.0,en,The Hole,Four teenagers at a British private school secretly uncover and explore the depths of a sealed underground hole created decades ago as a possible bomb shelter.,17.073,/zVDhZHjcE0ksNfFSsJVoxDdAYCJ.jpg,"[{'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}, {'id': 245, 'logo_path': '/9oyhlRJFKrGPmhbRseNbuD9H6dN.png', 'name': 'Cowboy Films', 'origin_country': 'GB'}, {'id': 246, 'logo_path': None, 'name': 'Film Council', 'origin_country': 'GB'}, {'id': 247, 'logo_path': None, 'name': 'Granada Productions', 'origin_country': 'GB'}, {'id': 248, 'logo_path': None, 'name': 'Impact Pictures', 'origin_country': 'GB'}, {'id': 1178, 'logo_path': None, 'name': 'Pathé Pictures International', 'origin_country': 'GB'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2001-04-20,7819851.0,102.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Once you get in, you can't get out.",The Hole,0.0,6.194,749.0,R
tt0242587,0.0,/zmKvbUUnTQMMUdKfd8FA4J6DSgK.jpg,,700000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",http://www.belladonna.bz/#/lie/,18734.0,en,L.I.E.,"In the space of a week, Howie loses nearly everything and everyone he knows and is left to navigate his adolescence virtually unsupervised.",11.049,/ck5Tkq17M6khEN7JQlQznoYl37L.jpg,"[{'id': 108927, 'logo_path': None, 'name': 'Alter Ego Entertainment', 'origin_country': ''}, {'id': 2341, 'logo_path': None, 'name': 'Belladonna Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-09-07,1667192.0,97.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"On the Long Island Expressway there are lanes going east, lanes going west, and lanes going straight to hell.",L.I.E.,0.0,6.7,103.0,NR
tt0242592,0.0,/t7hAcpVOmeYyuxwUDL4wr4BtYOk.jpg,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",,87633.0,en,Layover,An airport affair of a business man turns into a nightmare when it turns out that the woman is married to a dangerous jewelry dealer.,3.097,/vbMwb4hqvQ8Ta9UjcbysO0OixnZ.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-08-22,0.0,96.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Layover,0.0,4.6,13.0,
tt0242746,0.0,,,0.0,[],,291651.0,en,Out of Line,"Henry, a hitman hired to take out a socialite, finds himself falling for Jenny, a parole officer, instead.",1.4,/v4PzV4xCPwy4hV0tJlhxxB4gBIy.jpg,[],[],2001-11-20,0.0,0.0,[],Released,,Out of Line,0.0,7.0,2.0,
tt0242994,0.0,/1LWVR7jnOtF9RBnI5ph5Nuq4VL1.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,55372.0,fr,Va savoir,"After finding love and success in Italy, French actress Camille returns to Paris, the city she fled three years ago. She secretly dreads confronting her ex-boyfriend Pierre. Her new lover Ugo also has a secret, as he’s meeting with the intriguing Dominique while on his quest for an unpublished manuscript.",2.353,/4TMNEsCqQttZYKP6B1CzxvSkFQL.jpg,"[{'id': 1628, 'logo_path': None, 'name': 'V.M. Productions', 'origin_country': 'FR'}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2001-09-28,0.0,154.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Va Savoir (Who Knows?),0.0,6.5,23.0,
